date,period,price
2020-05-08 00:00:00,00-01,24.1
2020-05-08 00:00:00,01-02,21.7
2020-05-08 00:00:00,02-03,20.34
2020-05-08 00:00:00,03-04,20.32
2020-05-08 00:00:00,04-05,20.21
2020-05-08 00:00:00,05-06,21.57
2020-05-08 00:00:00,06-07,23.07
2020-05-08 00:00:00,07-08,23.47
2020-05-08 00:00:00,08-09,22.58
2020-05-08 00:00:00,09-10,20.01
2020-05-08 00:00:00,10-11,17.47
2020-05-08 00:00:00,11-12,16.9
2020-05-08 00:00:00,12-13,16.09
2020-05-08 00:00:00,13-14,13.67
2020-05-08 00:00:00,14-15,13.08
2020-05-08 00:00:00,15-16,14.03
2020-05-08 00:00:00,16-17,16.04
2020-05-08 00:00:00,17-18,20.04
2020-05-08 00:00:00,18-19,24.91
2020-05-08 00:00:00,19-20,27.25
2020-05-08 00:00:00,20-21,26.93
2020-05-08 00:00:00,21-22,26.53
2020-05-08 00:00:00,22-23,26.53
2020-05-08 00:00:00,23-24,23.91
2020-05-07 00:00:00,00-01,20.3
2020-05-07 00:00:00,01-02,19.1
2020-05-07 00:00:00,02-03,18.68
2020-05-07 00:00:00,03-04,18.29
2020-05-07 00:00:00,04-05,17.66
2020-05-07 00:00:00,05-06,19.08
2020-05-07 00:00:00,06-07,21.41
2020-05-07 00:00:00,07-08,24.28
2020-05-07 00:00:00,08-09,24.44
2020-05-07 00:00:00,09-10,20.2
2020-05-07 00:00:00,10-11,18.94
2020-05-07 00:00:00,11-12,18.3
2020-05-07 00:00:00,12-13,17.57
2020-05-07 00:00:00,13-14,16.8
2020-05-07 00:00:00,14-15,16.06
2020-05-07 00:00:00,15-16,16.73
2020-05-07 00:00:00,16-17,17.44
2020-05-07 00:00:00,17-18,20
2020-05-07 00:00:00,18-19,26.35
2020-05-07 00:00:00,19-20,31.3
2020-05-07 00:00:00,20-21,29.04
2020-05-07 00:00:00,21-22,27.7
2020-05-07 00:00:00,22-23,26.58
2020-05-07 00:00:00,23-24,25.05
2020-05-06 00:00:00,00-01,21.52
2020-05-06 00:00:00,01-02,20.06
2020-05-06 00:00:00,02-03,19.03
2020-05-06 00:00:00,03-04,18.17
2020-05-06 00:00:00,04-05,17.97
2020-05-06 00:00:00,05-06,20.02
2020-05-06 00:00:00,06-07,24.1
2020-05-06 00:00:00,07-08,25.93
2020-05-06 00:00:00,08-09,26.17
2020-05-06 00:00:00,09-10,22.36
2020-05-06 00:00:00,10-11,19.5
2020-05-06 00:00:00,11-12,18.4
2020-05-06 00:00:00,12-13,17.81
2020-05-06 00:00:00,13-14,16.48
2020-05-06 00:00:00,14-15,15.05
2020-05-06 00:00:00,15-16,15.21
2020-05-06 00:00:00,16-17,16.45
2020-05-06 00:00:00,17-18,18.61
2020-05-06 00:00:00,18-19,22.85
2020-05-06 00:00:00,19-20,25.61
2020-05-06 00:00:00,20-21,25.07
2020-05-06 00:00:00,21-22,24.01
2020-05-06 00:00:00,22-23,23.02
2020-05-06 00:00:00,23-24,21.74
2020-05-05 00:00:00,00-01,19.27
2020-05-05 00:00:00,01-02,18.42
2020-05-05 00:00:00,02-03,17.25
2020-05-05 00:00:00,03-04,17.44
2020-05-05 00:00:00,04-05,17.19
2020-05-05 00:00:00,05-06,19.48
2020-05-05 00:00:00,06-07,22.67
2020-05-05 00:00:00,07-08,23.79
2020-05-05 00:00:00,08-09,24.36
2020-05-05 00:00:00,09-10,22.36
2020-05-05 00:00:00,10-11,19.15
2020-05-05 00:00:00,11-12,19
2020-05-05 00:00:00,12-13,18.02
2020-05-05 00:00:00,13-14,15.77
2020-05-05 00:00:00,14-15,15.05
2020-05-05 00:00:00,15-16,15.05
2020-05-05 00:00:00,16-17,16.97
2020-05-05 00:00:00,17-18,20.13
2020-05-05 00:00:00,18-19,24.75
2020-05-05 00:00:00,19-20,29
2020-05-05 00:00:00,20-21,27.74
2020-05-05 00:00:00,21-22,25.6
2020-05-05 00:00:00,22-23,24.43
2020-05-05 00:00:00,23-24,22.92
2020-05-04 00:00:00,00-01,21.58
2020-05-04 00:00:00,01-02,19.94
2020-05-04 00:00:00,02-03,19.16
2020-05-04 00:00:00,03-04,18.87
2020-05-04 00:00:00,04-05,18.26
2020-05-04 00:00:00,05-06,21.15
2020-05-04 00:00:00,06-07,25.92
2020-05-04 00:00:00,07-08,26.68
2020-05-04 00:00:00,08-09,26.91
2020-05-04 00:00:00,09-10,24.98
2020-05-04 00:00:00,10-11,23.09
2020-05-04 00:00:00,11-12,22.92
2020-05-04 00:00:00,12-13,22.45
2020-05-04 00:00:00,13-14,19.93
2020-05-04 00:00:00,14-15,18.68
2020-05-04 00:00:00,15-16,18.68
2020-05-04 00:00:00,16-17,19.69
2020-05-04 00:00:00,17-18,22.38
2020-05-04 00:00:00,18-19,25.04
2020-05-04 00:00:00,19-20,27.93
2020-05-04 00:00:00,20-21,25.96
2020-05-04 00:00:00,21-22,24.08
2020-05-04 00:00:00,22-23,22.99
2020-05-04 00:00:00,23-24,21.05
2020-05-03 00:00:00,00-01,16.43
2020-05-03 00:00:00,01-02,13.45
2020-05-03 00:00:00,02-03,11.39
2020-05-03 00:00:00,03-04,10.84
2020-05-03 00:00:00,04-05,10.09
2020-05-03 00:00:00,05-06,9.94
2020-05-03 00:00:00,06-07,9.53
2020-05-03 00:00:00,07-08,8.21
2020-05-03 00:00:00,08-09,6.04
2020-05-03 00:00:00,09-10,4.99
2020-05-03 00:00:00,10-11,3.94
2020-05-03 00:00:00,11-12,4.42
2020-05-03 00:00:00,12-13,5.38
2020-05-03 00:00:00,13-14,3.08
2020-05-03 00:00:00,14-15,0.28
2020-05-03 00:00:00,15-16,0.08
2020-05-03 00:00:00,16-17,4.02
2020-05-03 00:00:00,17-18,8.9
2020-05-03 00:00:00,18-19,18.66
2020-05-03 00:00:00,19-20,23.07
2020-05-03 00:00:00,20-21,24.09
2020-05-03 00:00:00,21-22,23.76
2020-05-03 00:00:00,22-23,24.77
2020-05-03 00:00:00,23-24,23.03
2020-05-02 00:00:00,00-01,15.42
2020-05-02 00:00:00,01-02,12
2020-05-02 00:00:00,02-03,11.75
2020-05-02 00:00:00,03-04,9.88
2020-05-02 00:00:00,04-05,9.56
2020-05-02 00:00:00,05-06,10.07
2020-05-02 00:00:00,06-07,13.19
2020-05-02 00:00:00,07-08,12.8
2020-05-02 00:00:00,08-09,11.86
2020-05-02 00:00:00,09-10,11.56
2020-05-02 00:00:00,10-11,10.09
2020-05-02 00:00:00,11-12,10.13
2020-05-02 00:00:00,12-13,9.76
2020-05-02 00:00:00,13-14,5.79
2020-05-02 00:00:00,14-15,2.7
2020-05-02 00:00:00,15-16,2.95
2020-05-02 00:00:00,16-17,4.78
2020-05-02 00:00:00,17-18,10.53
2020-05-02 00:00:00,18-19,17.92
2020-05-02 00:00:00,19-20,22.17
2020-05-02 00:00:00,20-21,22.72
2020-05-02 00:00:00,21-22,22.01
2020-05-02 00:00:00,22-23,21.97
2020-05-02 00:00:00,23-24,20.42
2020-05-01 00:00:00,00-01,11.49
2020-05-01 00:00:00,01-02,10.06
2020-05-01 00:00:00,02-03,10.05
2020-05-01 00:00:00,03-04,7.79
2020-05-01 00:00:00,04-05,6.11
2020-05-01 00:00:00,05-06,7.02
2020-05-01 00:00:00,06-07,7.31
2020-05-01 00:00:00,07-08,5.37
2020-05-01 00:00:00,08-09,3.19
2020-05-01 00:00:00,09-10,1.03
2020-05-01 00:00:00,10-11,0.06
2020-05-01 00:00:00,11-12,-0.07
2020-05-01 00:00:00,12-13,5.06
2020-05-01 00:00:00,13-14,-0.55
2020-05-01 00:00:00,14-15,-2.92
2020-05-01 00:00:00,15-16,-2.05
2020-05-01 00:00:00,16-17,1.97
2020-05-01 00:00:00,17-18,11.03
2020-05-01 00:00:00,18-19,15.62
2020-05-01 00:00:00,19-20,21.22
2020-05-01 00:00:00,20-21,22.74
2020-05-01 00:00:00,21-22,21.59
2020-05-01 00:00:00,22-23,20.82
2020-05-01 00:00:00,23-24,17.2
2020-04-30 00:00:00,00-01,20.02
2020-04-30 00:00:00,01-02,17.97
2020-04-30 00:00:00,02-03,14.93
2020-04-30 00:00:00,03-04,13.94
2020-04-30 00:00:00,04-05,13.3
2020-04-30 00:00:00,05-06,16.49
2020-04-30 00:00:00,06-07,21.21
2020-04-30 00:00:00,07-08,23.68
2020-04-30 00:00:00,08-09,25.13
2020-04-30 00:00:00,09-10,23.93
2020-04-30 00:00:00,10-11,22.44
2020-04-30 00:00:00,11-12,22.01
2020-04-30 00:00:00,12-13,19.66
2020-04-30 00:00:00,13-14,15.02
2020-04-30 00:00:00,14-15,13.39
2020-04-30 00:00:00,15-16,14.03
2020-04-30 00:00:00,16-17,17.7
2020-04-30 00:00:00,17-18,21.69
2020-04-30 00:00:00,18-19,25.35
2020-04-30 00:00:00,19-20,28.14
2020-04-30 00:00:00,20-21,25.91
2020-04-30 00:00:00,21-22,24.01
2020-04-30 00:00:00,22-23,21.68
2020-04-30 00:00:00,23-24,17.16
2020-04-29 00:00:00,00-01,21.15
2020-04-29 00:00:00,01-02,19.22
2020-04-29 00:00:00,02-03,18.18
2020-04-29 00:00:00,03-04,17.96
2020-04-29 00:00:00,04-05,18.12
2020-04-29 00:00:00,05-06,20.36
2020-04-29 00:00:00,06-07,23.52
2020-04-29 00:00:00,07-08,25.32
2020-04-29 00:00:00,08-09,27.92
2020-04-29 00:00:00,09-10,25.7
2020-04-29 00:00:00,10-11,23.98
2020-04-29 00:00:00,11-12,23.32
2020-04-29 00:00:00,12-13,21.47
2020-04-29 00:00:00,13-14,19.1
2020-04-29 00:00:00,14-15,18.09
2020-04-29 00:00:00,15-16,17.99
2020-04-29 00:00:00,16-17,19.07
2020-04-29 00:00:00,17-18,21.41
2020-04-29 00:00:00,18-19,25.37
2020-04-29 00:00:00,19-20,28.97
2020-04-29 00:00:00,20-21,27.94
2020-04-29 00:00:00,21-22,26.56
2020-04-29 00:00:00,22-23,24.27
2020-04-29 00:00:00,23-24,21.61
2020-04-28 00:00:00,00-01,23.46
2020-04-28 00:00:00,01-02,22
2020-04-28 00:00:00,02-03,20.74
2020-04-28 00:00:00,03-04,19.52
2020-04-28 00:00:00,04-05,19.45
2020-04-28 00:00:00,05-06,20.74
2020-04-28 00:00:00,06-07,23.59
2020-04-28 00:00:00,07-08,24.77
2020-04-28 00:00:00,08-09,26
2020-04-28 00:00:00,09-10,24.54
2020-04-28 00:00:00,10-11,22.75
2020-04-28 00:00:00,11-12,22.57
2020-04-28 00:00:00,12-13,22.1
2020-04-28 00:00:00,13-14,21.94
2020-04-28 00:00:00,14-15,21.7
2020-04-28 00:00:00,15-16,22.07
2020-04-28 00:00:00,16-17,22.57
2020-04-28 00:00:00,17-18,24.1
2020-04-28 00:00:00,18-19,26.9
2020-04-28 00:00:00,19-20,28.93
2020-04-28 00:00:00,20-21,26.28
2020-04-28 00:00:00,21-22,25.04
2020-04-28 00:00:00,22-23,23.58
2020-04-28 00:00:00,23-24,21.38
2020-04-27 00:00:00,00-01,21.69
2020-04-27 00:00:00,01-02,21.41
2020-04-27 00:00:00,02-03,19.59
2020-04-27 00:00:00,03-04,18.82
2020-04-27 00:00:00,04-05,18.28
2020-04-27 00:00:00,05-06,21.04
2020-04-27 00:00:00,06-07,24.94
2020-04-27 00:00:00,07-08,25.59
2020-04-27 00:00:00,08-09,25.6
2020-04-27 00:00:00,09-10,22.65
2020-04-27 00:00:00,10-11,20.01
2020-04-27 00:00:00,11-12,20.24
2020-04-27 00:00:00,12-13,20.56
2020-04-27 00:00:00,13-14,18.38
2020-04-27 00:00:00,14-15,18.31
2020-04-27 00:00:00,15-16,18.48
2020-04-27 00:00:00,16-17,19.26
2020-04-27 00:00:00,17-18,24.21
2020-04-27 00:00:00,18-19,28.78
2020-04-27 00:00:00,19-20,39.11
2020-04-27 00:00:00,20-21,31.91
2020-04-27 00:00:00,21-22,29.12
2020-04-27 00:00:00,22-23,29.07
2020-04-27 00:00:00,23-24,25.4
2020-04-26 00:00:00,00-01,20.19
2020-04-26 00:00:00,01-02,18.82
2020-04-26 00:00:00,02-03,17.14
2020-04-26 00:00:00,03-04,16.21
2020-04-26 00:00:00,04-05,16.08
2020-04-26 00:00:00,05-06,16.04
2020-04-26 00:00:00,06-07,15.06
2020-04-26 00:00:00,07-08,14.7
2020-04-26 00:00:00,08-09,12.91
2020-04-26 00:00:00,09-10,9.05
2020-04-26 00:00:00,10-11,7.02
2020-04-26 00:00:00,11-12,8.88
2020-04-26 00:00:00,12-13,7.98
2020-04-26 00:00:00,13-14,3.65
2020-04-26 00:00:00,14-15,-0.12
2020-04-26 00:00:00,15-16,1.39
2020-04-26 00:00:00,16-17,7.29
2020-04-26 00:00:00,17-18,14.72
2020-04-26 00:00:00,18-19,23.31
2020-04-26 00:00:00,19-20,25.6
2020-04-26 00:00:00,20-21,26.63
2020-04-26 00:00:00,21-22,25.98
2020-04-26 00:00:00,22-23,26.72
2020-04-26 00:00:00,23-24,24.96
2020-04-25 00:00:00,00-01,17.63
2020-04-25 00:00:00,01-02,15.32
2020-04-25 00:00:00,02-03,15.03
2020-04-25 00:00:00,03-04,14.14
2020-04-25 00:00:00,04-05,14.01
2020-04-25 00:00:00,05-06,14.07
2020-04-25 00:00:00,06-07,15.04
2020-04-25 00:00:00,07-08,16.38
2020-04-25 00:00:00,08-09,15.2
2020-04-25 00:00:00,09-10,13.79
2020-04-25 00:00:00,10-11,11.41
2020-04-25 00:00:00,11-12,9.85
2020-04-25 00:00:00,12-13,9.75
2020-04-25 00:00:00,13-14,6.76
2020-04-25 00:00:00,14-15,5.08
2020-04-25 00:00:00,15-16,6.58
2020-04-25 00:00:00,16-17,9.25
2020-04-25 00:00:00,17-18,15.04
2020-04-25 00:00:00,18-19,21.13
2020-04-25 00:00:00,19-20,23.88
2020-04-25 00:00:00,20-21,24.34
2020-04-25 00:00:00,21-22,24.32
2020-04-25 00:00:00,22-23,24.32
2020-04-25 00:00:00,23-24,22.2
2020-04-24 00:00:00,00-01,25.79
2020-04-24 00:00:00,01-02,23.54
2020-04-24 00:00:00,02-03,21.96
2020-04-24 00:00:00,03-04,21.15
2020-04-24 00:00:00,04-05,20.86
2020-04-24 00:00:00,05-06,22.02
2020-04-24 00:00:00,06-07,27.04
2020-04-24 00:00:00,07-08,28.04
2020-04-24 00:00:00,08-09,28.52
2020-04-24 00:00:00,09-10,22.77
2020-04-24 00:00:00,10-11,19.94
2020-04-24 00:00:00,11-12,17.92
2020-04-24 00:00:00,12-13,14.84
2020-04-24 00:00:00,13-14,12.09
2020-04-24 00:00:00,14-15,12.04
2020-04-24 00:00:00,15-16,11.03
